Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Mörfelder Landstraße;50.09207785;8.675394558333334;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.0921609;8.67554565;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.09224395;8.675696741666666;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.092327;8.675847833333334;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.09241005;8.675998925;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.0924931;8.676150016666666;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.09257615;8.676301108333334;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.0926592;8.6764522;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.09272716666667;8.676576233333334;50.0;Interpoliert;T
Routenpunkt (Way);Mörfelder Landstraße;50.09279513333333;8.676700266666666;50.0;Interpoliert;T
Haltestelle;Breslauer Straße;50.0928631;8.6768243;50.0;Original OSM;W
Routenpunkt (Way);Mörfelder Landstraße;50.0928839;8.6768617;50.0;Original OSM;T
