Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name;Fahrt_Nr;Bus_Umlauf_ID
Routenpunkt (Way);T;Haasstraße;49.885638;8.620466;30.0;05:24:00;05:24:00;;;;Original OSM;121.0;0.0;asphalt;unclassified;Haasstraße;1;Kurs 4
Haltestelle;W;Darmstadt Haasstraße;49.885638;8.620466;30.0;05:24:00;05:24:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 4m) | Auf Route gesnappt (4m);121.0;0.0;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.885606;8.620475;30.0;;;;;;Original OSM;121.0;-0.2;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.885474;8.620512;30.0;;;;;;Interpoliert;121.0;-0.36;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.885373;8.620518;30.0;;;;;;Interpoliert;120.89;-0.49;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.885272;8.620525;30.0;;;;;;Original OSM;120.8;-0.63;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.88514;8.620534;30.0;;;;;;Original OSM;120.7;-0.76;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.885006;8.62054;30.0;;;;;;Interpoliert;120.6;-0.43;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.884873;8.620546;30.0;;;;;;Interpoliert;120.5;-0.12;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Haasstraße;49.88474;8.620552;30.0;;;;;;Original OSM;120.6;0.17;asphalt;unclassified;Haasstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884735;8.620372;30.0;;;;;;Interpoliert;120.7;0.47;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.88473;8.620192;30.0;;;;;;Original OSM;120.8;0.76;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884725;8.620016;30.0;;;;;;Interpoliert;120.9;0.8;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.88472;8.61984;30.0;;;;;;Original OSM;121.0;0.82;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884715;8.61968;30.0;;;;;;Interpoliert;121.1;0.84;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.88471;8.61952;30.0;;;;;;Interpoliert;121.2;0.85;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884706;8.619359;30.0;;;;;;Interpoliert;121.3;0.56;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884701;8.619199;30.0;;;;;;Original OSM;121.4;-0.02;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884695;8.618994;30.0;;;;;;Interpoliert;121.3;-0.61;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884689;8.61879;30.0;;;;;;Interpoliert;121.0;-1.36;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884684;8.618585;30.0;;;;;;Original OSM;120.7;-2.11;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884679;8.618441;30.0;;;;;;Interpoliert;120.4;-2.26;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884675;8.618296;30.0;;;;;;Original OSM;120.1;-2.0;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884668;8.618103;30.0;;;;;;Interpoliert;119.9;-1.73;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884662;8.61791;30.0;;;;;;Interpoliert;119.8;-1.3;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884655;8.617717;30.0;;;;;;Interpoliert;119.7;-0.87;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884649;8.617524;30.0;;;;;;Interpoliert;119.6;-0.39;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884642;8.617331;30.0;;;;;;Interpoliert;119.5;-0.06;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;;49.88462;8.617184;30.0;;;;;;Interpoliert (15m);119.6;0.5;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;Staudingerstraße;49.884598;8.617037;30.0;;;;;;Original OSM;119.7;1.06;asphalt;residential;Staudingerstraße;1;Kurs 4
Routenpunkt (Way);T;;49.884512;8.617033;30.0;;;;;;Interpoliert (15m);119.9;1.48;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;Im Harras;49.884426;8.617029;30.0;;;;;;Interpoliert;120.1;1.44;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;Im Harras;49.8843;8.617072;30.0;;;;;;Interpoliert;120.3;1.39;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;Im Harras;49.884174;8.617114;30.0;;;;;;Interpoliert;120.4;1.11;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;Im Harras;49.884048;8.617157;30.0;;;;;;Interpoliert;120.5;0.91;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;Im Harras;49.883922;8.6172;30.0;;;;;;Interpoliert;120.6;0.85;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;;49.883841;8.617228;30.0;;;;;;Interpoliert (15m);120.7;1.13;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;Im Harras;49.883759;8.617255;30.0;;;;;;Original OSM;120.8;1.4;asphalt;residential;Im Harras;1;Kurs 4
Routenpunkt (Way);T;;49.883669;8.61711;30.0;;;;;;Interpoliert (15m);121.1;1.54;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;;49.883578;8.616966;30.0;;;;;;Interpoliert (15m);121.4;1.6;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;;49.883488;8.616821;30.0;;;;;;Interpoliert (15m);121.6;1.68;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.883397;8.616676;30.0;;;;;;Original OSM;121.8;1.27;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;;49.883276;8.616661;30.0;;;;;;Interpoliert (15m);122.0;0.85;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;;49.883155;8.616646;30.0;;;;;;Interpoliert (15m);122.0;0.57;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;;49.883034;8.61663;30.0;;;;;;Interpoliert (15m);122.0;0.3;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882913;8.616615;30.0;;;;;;Interpoliert;122.0;0.0;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882785;8.616657;30.0;;;;;;Original OSM;122.0;-0.3;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882667;8.616695;30.0;;;;;;Interpoliert;122.0;-0.59;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882548;8.616734;30.0;;;;;;Interpoliert;121.8;-0.99;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882429;8.616773;30.0;;;;;;Original OSM;121.6;-1.39;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882341;8.616802;30.0;;;;;;Interpoliert;121.4;-1.78;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882252;8.616831;30.0;;;;;;Interpoliert;121.2;-1.35;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882163;8.61686;30.0;;;;;;Original OSM;121.0;-0.91;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.882038;8.6169;30.0;;;;;;Interpoliert;121.1;-0.35;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.881913;8.616941;30.0;;;;;;Original OSM;121.2;0.21;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.881806;8.616976;30.0;;;;;;Interpoliert;121.3;0.77;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.881699;8.617011;30.0;;;;;;Interpoliert;121.4;0.78;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.881591;8.617046;30.0;;;;;;Original OSM;121.5;0.64;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.881474;8.617086;30.0;;;;;;Interpoliert;121.6;0.63;asphalt;residential;Kölner Straße;1;Kurs 4
Haltestelle;W;Darmstadt Kölner Straße;49.881474;8.617086;30.0;;;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 4m) | Auf Route gesnappt (4m);121.7;0.91;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.881357;8.617127;30.0;;;;;;Interpoliert;121.8;1.4;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.881239;8.617167;30.0;;;;;;Interpoliert;122.1;1.69;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;;49.881157;8.617171;30.0;;;;;;Interpoliert (15m);122.4;1.96;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße (Bussteig Richtung Süd);49.881074;8.617176;30.0;;;;;;Original OSM;122.6;2.09;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;;49.88095;8.617239;30.0;;;;;;Interpoliert (15m);122.8;2.02;asphalt;residential;Kölner Straße;1;Kurs 4
Routenpunkt (Way);T;Kölner Straße;49.880826;8.617303;30.0;;;;;;Interpoliert;123.0;1.75;asphalt;residential;Kölner Straße;1;Kurs 4
