Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name;Fahrt_Nr;Bus_Umlauf_ID
Routenpunkt (Way);T;Rheinstraße;49.871619;8.64242;30.0;;;;;;Interpoliert;138.5;0.29;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871645;8.642607;30.0;;;;;;Interpoliert;138.5;0.64;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871671;8.642795;30.0;;;;;;Interpoliert;138.7;0.98;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.871703;8.642948;30.0;;;;;;Interpoliert (15m);138.9;1.39;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871736;8.643101;30.0;;;;;;Interpoliert;139.1;1.8;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.871761;8.643233;30.0;;;;;;Interpoliert (15m);139.3;1.7;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rhein-/Neckarstraße;49.871786;8.643365;30.0;;;;;;Interpoliert;139.5;1.55;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.871806;8.643505;30.0;;;;;;Interpoliert (15m);139.6;1.37;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rhein-/Neckarstraße;49.871825;8.643646;30.0;;;;;;Original OSM;139.7;1.13;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.871841;8.64381;30.0;;;;;;Interpoliert (15m);139.8;0.9;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rhein-/Neckarstraße;49.871856;8.643974;30.0;;;;;;Interpoliert;139.9;0.7;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.871872;8.644133;30.0;;;;;;Interpoliert (15m);140.0;0.68;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.871888;8.644292;30.0;;;;;;Interpoliert (15m);140.0;0.71;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871904;8.64445;30.0;;;;;;Original OSM;140.1;0.69;asphalt;busway;Rheinstraße;11;Kurs 49
Haltestelle;W;Darmstadt Rhein-/Neckarstraße;49.871925;8.644589;30.0;13:29:00;13:29:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 43m) | Auf Route gesnappt (43m);140.2;0.68;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.871955;8.644779;30.0;;;;;;Original OSM;140.3;0.51;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;;49.871979;8.644939;30.0;;;;;;Interpoliert (15m);140.4;0.19;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872003;8.645099;30.0;;;;;;Interpoliert;140.3;-0.15;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.87203;8.645283;30.0;;;;;;Interpoliert;140.2;-0.44;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872057;8.645468;30.0;;;;;;Interpoliert;140.1;-0.76;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872084;8.645653;30.0;;;;;;Interpoliert;140.0;-0.15;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872111;8.645837;30.0;;;;;;Interpoliert;139.9;0.29;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872138;8.646022;30.0;;;;;;Interpoliert;140.2;0.74;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872166;8.646207;30.0;;;;;;Interpoliert;140.4;1.18;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872193;8.646391;30.0;;;;;;Interpoliert;140.6;1.47;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.87222;8.646576;30.0;;;;;;Interpoliert;140.8;1.46;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872247;8.64676;30.0;;;;;;Original OSM;140.9;1.59;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872274;8.646952;30.0;;;;;;Interpoliert;141.2;1.72;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872302;8.647144;30.0;;;;;;Interpoliert;141.5;1.85;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872329;8.647335;30.0;;;;;;Interpoliert;141.8;2.27;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872357;8.647527;30.0;;;;;;Interpoliert;142.1;1.85;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872384;8.647719;30.0;;;;;;Interpoliert;142.5;1.42;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872412;8.64791;30.0;;;;;;Interpoliert;142.5;0.99;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.87244;8.648102;30.0;;;;;;Interpoliert;142.5;0.57;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872467;8.648294;30.0;;;;;;Interpoliert;142.5;0.14;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872495;8.648485;30.0;;;;;;Interpoliert;142.5;0.28;asphalt;busway;Rheinstraße;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.872522;8.648677;30.0;;;;;;Interpoliert;142.6;0.43;asphalt;busway;;11;Kurs 49
Routenpunkt (Way);T;Rheinstraße;49.87255;8.648869;30.0;;;;;;Interpoliert;142.7;0.57;asphalt;residential;Grafenstraße;11;Kurs 49
