Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name;Fahrt_Nr;Bus_Umlauf_ID
Routenpunkt (Way);T;Dieburger Straße;49.884112;8.685314;50.0;05:55:00;05:55:00;;;;Original OSM;185.0;0.0;asphalt;secondary;Dieburger Straße;1;Kurs 6
Haltestelle;W;Darmstadt Fasanerie;49.884112;8.685314;50.0;05:55:00;05:55:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m);184.33;-0.91;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.884112;8.685314;30.0;;;;;;Original OSM;183.86;-1.3;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);A;Ampel;49.884062;8.685203;30.0;;;;;;Interpoliert (15m);183.5;-1.68;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.884011;8.685091;30.0;;;;;;Interpoliert;183.22;-2.39;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.88395;8.684957;30.0;;;;;;Interpoliert;183.0;-3.11;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;;49.883891;8.68483;30.0;;;;;;Interpoliert (15m);182.6;-3.41;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883833;8.684704;30.0;;;;;;Original OSM;182.2;-3.87;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;;49.883781;8.684594;30.0;;;;;;Interpoliert (15m);181.7;-4.25;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.88373;8.684484;30.0;;;;;;Interpoliert;181.2;-3.69;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.88366;8.684337;30.0;;;;;;Interpoliert;180.7;-2.82;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883591;8.684189;30.0;;;;;;Interpoliert;180.6;-1.62;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883521;8.684041;30.0;;;;;;Interpoliert;180.7;-0.76;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;;49.883461;8.683912;30.0;;;;;;Interpoliert (15m);180.8;-0.16;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.8834;8.683783;30.0;;;;;;Original OSM;180.7;-0.17;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;;49.883334;8.683644;30.0;;;;;;Interpoliert (15m);180.6;-0.48;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883269;8.683504;30.0;;;;;;Interpoliert;180.5;-0.66;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883201;8.683364;30.0;;;;;;Interpoliert;180.4;-0.96;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883134;8.683223;30.0;;;;;;Interpoliert;180.4;-1.28;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883067;8.683083;30.0;;;;;;Interpoliert;180.1;-1.59;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.883;8.682942;30.0;;;;;;Interpoliert;179.8;-2.15;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882932;8.682801;30.0;;;;;;Original OSM;179.5;-2.86;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882879;8.682625;30.0;;;;;;Interpoliert;179.0;-3.53;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882825;8.682448;30.0;;;;;;Interpoliert;178.5;-4.23;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882771;8.682271;30.0;;;;;;Original OSM;177.7;-4.85;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882719;8.6821;30.0;;;;;;Original OSM;176.9;-5.23;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882672;8.68191;30.0;;;;;;Interpoliert;176.1;-5.89;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882625;8.68172;30.0;;;;;;Interpoliert;175.3;-5.71;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882578;8.68153;30.0;;;;;;Interpoliert;174.3;-5.49;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882531;8.68134;30.0;;;;;;Interpoliert;173.6;-5.35;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882484;8.68115;30.0;;;;;;Interpoliert;172.9;-5.21;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882437;8.68096;30.0;;;;;;Interpoliert;172.2;-5.22;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.88239;8.68077;30.0;;;;;;Interpoliert;171.5;-4.65;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;;49.882358;8.680637;30.0;;;;;;Interpoliert (15m);170.8;-4.05;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882325;8.680505;30.0;;;;;;Original OSM;170.6;-3.45;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;;49.88229;8.680359;30.0;;;;;;Interpoliert (15m);170.4;-2.81;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882256;8.680213;30.0;;;;;;Interpoliert;170.2;-1.43;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882217;8.680046;30.0;;;;;;Interpoliert;170.0;-1.21;asphalt;secondary;Dieburger Straße;1;Kurs 6
Routenpunkt (Way);T;Dieburger Straße;49.882178;8.679878;30.0;;;;;;Interpoliert;170.0;-1.03;asphalt;secondary;Dieburger Straße;1;Kurs 6
