Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Würzburger Straße;49.900921925;8.670169725000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90085015;8.670058350000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.900778375;8.669946975;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.9007066;8.6698356;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.90062022;8.66970055;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90053384;8.669565500000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90044746;8.66943045;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90036108;8.669295400000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.9002747;8.66916035;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90018832;8.6690253;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90010194;8.66889025;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90001556;8.6687552;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89992918;8.66862015;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8998428;8.6684851;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.8998428;8.6684851;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.89975539090909;8.668349272727273;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89966798181818;8.668213445454546;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89958057272728;8.668077618181817;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.899493163636365;8.66794179090909;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.899405754545455;8.667805963636363;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89931834545455;8.667670136363636;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89923093636364;8.66753430909091;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89914352727273;8.667398481818182;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89905611818182;8.667262654545453;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89896870909091;8.667126827272726;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8988813;8.666991;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.898793242857145;8.666849114285714;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.898705185714284;8.666707228571427;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89861712857143;8.666565342857142;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89852907142857;8.666423457142857;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89844101428572;8.666281571428572;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.898352957142855;8.666139685714285;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8982649;8.6659978;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.89820446666667;8.665887466666666;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89814403333333;8.665777133333334;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8980836;8.6656668;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.8980374;8.665547133333334;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8979912;8.665427466666667;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.897945;8.6653078;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977729;8.665379;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977699;8.6654036;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977565;8.6654996;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977523;8.66557;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977453;8.6656961;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977375;8.6658053;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977375;8.6658053;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977175;8.6659952;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.89769545;8.6661167;30.0;Interpoliert;T
Routenpunkt (Way);Maulbeerallee;49.8976734;8.6662382;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8976194;8.6664017;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8975532;8.6665188;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8975398;8.6665451;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8975012;8.6666097;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8974781;8.6666528;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8974606;8.66669;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8974537;8.6667038;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8974455;8.6667381;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8974455;8.6667381;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8974448;8.6667803;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8974547;8.6668481;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8974941;8.6669289;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8975741;8.6670501;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89765065;8.667124650000002;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8977272;8.6671992;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8978225;8.6673151;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89787655;8.6673914;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8979306;8.6674677;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8979935;8.667545050000001;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8980564;8.6676224;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89812355;8.66771385;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8981907;8.6678053;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8982533;8.66788105;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8983159;8.6679568;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984085;8.6680911;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984791;8.6681687;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984946;8.6682046;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8985004;8.6682438;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984988;8.6682869;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898495;8.6683223;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898495;8.6683223;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984895;8.6683875;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984831;8.6684686;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984831;8.6684686;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898469;8.6685885;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984602;8.6687269;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89846075;8.66884545;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8984613;8.668964;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8984684;8.6690953;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8984755;8.6692266;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898498125;8.66940345;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.89852075;8.6695803;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.898543375;8.669757149999999;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.898566;8.669934;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898586525;8.67010225;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.89860705;8.6702705;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.898627575000006;8.67043875;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8986481;8.670607;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8986506;8.670675;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8986531;8.6707395;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8986531;8.6707395;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8986647;8.6709368;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8986782;8.671131966666666;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8986917;8.671327133333333;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8987052;8.6715223;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898711000000006;8.67164045;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8987168;8.6717586;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898730650000005;8.67194165;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8987445;8.6721247;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89875846666666;8.672326533333333;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.898772433333335;8.672528366666667;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8987864;8.6727302;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89879673333333;8.672911933333333;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.89880706666666;8.673093666666666;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8988174;8.6732754;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8988242;8.6734221;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8988242;8.6734221;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898832;8.6735705;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89884386666667;8.673714766666667;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.898855733333335;8.673859033333335;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8988676;8.6740033;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.89888096666667;8.674193466666667;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.89889433333334;8.674383633333333;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8989077;8.6745738;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8989227;8.67476925;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8989377;8.6749647;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8989489;8.6751244;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8989601;8.675284099999999;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8989713;8.6754438;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8989825;8.6756035;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.898995925;8.675803625;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.89900935;8.67600375;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.899022775;8.676203874999999;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8990362;8.676404;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8990427;8.6765062;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.899054625000005;8.676704525;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.89906655;8.676902850000001;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.899078475;8.677101175;30.0;Interpoliert;T
Routenpunkt (Way);Hammelstrift;49.8990904;8.6772995;30.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8990874;8.677338;30.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8990838;8.6773789;50.0;Original OSM;T
Routenpunkt (Way);Hammelstrift;49.8990838;8.6773789;30.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8989907;8.6773615;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8988671;8.6773582;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.8987435;8.6773549;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.89861277;8.677349509999999;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.898482040000005;8.677344119999999;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.89835131;8.677338729999999;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.89822058;8.677333339999999;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.898089850000005;8.677327949999999;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.89795912;8.67732256;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.89782839;8.67731717;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.89769766;8.67731178;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.89756693;8.67730639;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.8974362;8.677301;50.0;Original OSM;T
