Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) & 80 % Volllast (m/s²);Nachtverkehr (10%) & 80 % Volllast (m/s²);Hauptverkehrszeit (100%) & 80 % Volllast (m/s²)
8,8;4,139378966690662;2,8845878650078194;1,2;1,2;1,2
8,9;4,139361440858094;2,8845755576429832;1,2;1,2;1,2
9,0;4,13934371699352;2,8845631112118775;1,2;1,2;1,2
9,1;4,139325795096939;2,884550525714503;1,2;1,2;1,2
9,200000000000001;4,139307675168352;2,884537801150859;1,2;1,2;1,2
9,3;4,139289357207758;2,8845249375209456;1,2;1,2;1,2
9,4;4,139270841215159;2,8845119348247628;1,2;1,2;1,2
9,5;4,139252127190551;2,8844987930623107;1,2;1,2;1,2
9,600000000000001;4,139233215133938;2,8844855122335895;1,2;1,2;1,2
9,700000000000001;4,139214105045319;2,8844720923385982;1,2;1,2;1,2
9,8;4,139194796924693;2,8844585333773383;1,2;1,2;1,2
9,9;4,139175290772061;2,884444835349809;1,2;1,2;1,2
10,0;4,139155586587423;2,88443099825601;1,2;1,2;1,2
10,100000000000001;4,139135684370777;2,8844170220959424;1,2;1,2;1,2
10,200000000000001;4,139115584122126;2,8844029068696044;1,2;1,2;1,2
10,3;4,139095285841468;2,8843886525769977;1,2;1,2;1,2
10,4;4,139074789528804;2,884374259218122;1,2;1,2;1,2
10,5;4,139054095184133;2,8843597267929764;1,2;1,2;1,2
10,600000000000001;4,139033202807457;2,8843450553015613;1,2;1,2;1,2
10,700000000000001;4,139012112398773;2,8843302447438774;1,2;1,2;1,2
10,8;4,138990823958083;2,884315295119924;1,2;1,2;1,2
10,9;4,138969337485387;2,884300206429701;1,2;1,2;1,2
11,0;4,138947652980684;2,884284978673209;1,2;1,2;1,2
11,100000000000001;4,138925770443975;2,8842696118504474;1,2;1,2;1,2
11,200000000000001;4,138903689875259;2,8842541059614164;1,2;1,2;1,2
11,3;4,138881411274537;2,8842384610061167;1,2;1,2;1,2
11,4;4,138858934641809;2,884222676984547;1,2;1,2;1,2
11,5;4,138836259977074;2,884206753896708;1,2;1,2;1,2
11,600000000000001;4,138813387280333;2,8841906917426003;1,2;1,2;1,2
11,700000000000001;4,138790316551585;2,8841744905222226;1,2;1,2;1,2
11,8;4,1387670477908305;2,884158150235576;1,2;1,2;1,2
11,9;4,138743580998071;2,8841416708826597;1,2;1,2;1,2
12,0;4,1387199161733035;2,884125052463474;1,2;1,2;1,2
12,100000000000001;4,13869605331653;2,8841082949780192;1,2;1,2;1,2
12,200000000000001;4,13867199242775;2,8840913984262952;1,2;1,2;1,2
12,3;4,138647733506964;2,8840743628083017;1,2;1,2;1,2
12,4;4,1386232765541715;2,8840571881240393;1,2;1,2;1,2
12,5;4,138598621569373;2,884039874373507;1,2;1,2;1,2
12,600000000000001;4,1385737685525665;2,8840224215567054;1,2;1,2;1,2
12,700000000000001;4,138548717503755;2,8840048296736343;1,2;1,2;1,2
12,8;4,138523468422937;2,883987098724295;1,2;1,2;1,2
12,9;4,138498021310112;2,883969228708685;1,2;1,2;1,2
13,0;4,138472376165281;2,883951219626806;1,2;1,2;1,2
13,100000000000001;4,138446532988444;2,883933071478658;1,2;1,2;1,2
13,200000000000001;4,138420491779599;2,8839147842642405;1,2;1,2;1,2
13,3;4,13839425253875;2,8838963579835535;1,2;1,2;1,2
13,4;4,138367815265892;2,8838777926365977;1,2;1,2;1,2
13,5;4,13834117996103;2,883859088223372;1,2;1,2;1,2
13,600000000000001;4,13831434662416;2,8838402447438773;1,2;1,2;1,2
13,700000000000001;4,138287315255284;2,883821262198113;1,2;1,2;1,2
13,8;4,138260085854402;2,88380214058608;1,2;1,2;1,2
13,9;4,138232658421512;2,8837828799077765;1,2;1,2;1,2
14,0;4,138205032956617;2,883763480163205;1,2;1,2;1,2
14,100000000000001;4,138177209459716;2,883743941352363;1,2;1,2;1,2
14,200000000000001;4,138149187930807;2,8837242634752522;1,2;1,2;1,2
14,3;4,1381209683698925;2,883704446531872;1,2;1,2;1,2
14,4;4,138092550776972;2,883684490522223;1,2;1,2;1,2
14,5;4,1380639351520445;2,8836643954463037;1,2;1,2;1,2
14,600000000000001;4,13803512149511;2,883644161304116;1,2;1,2;1,2
14,700000000000001;4,13800610980617;2,883623788095658;1,2;1,2;1,2
14,8;4,137976900085223;2,8836032758209313;1,2;1,2;1,2
14,9;4,1379474923322705;2,883582624479935;1,2;1,2;1,2
15,0;4,137917886547311;2,88356183407267;1,2;1,2;1,2
15,100000000000001;4,1378880827303455;2,8835409045991347;1,2;1,2;1,2
15,200000000000001;4,137858080881373;2,8835198360593304;1,2;1,2;1,2
15,3;4,137827881000395;2,8834986284532573;1,2;1,2;1,2
15,4;4,137797483087409;2,8834772817809142;1,2;1,2;1,2
15,5;4,137766887142417;2,883455796042302;1,2;1,2;1,2
15,600000000000001;4,13773609316542;2,8834341712374205;1,2;1,2;1,2
15,700000000000001;4,137705101156415;2,88341240736627;1,2;1,2;1,2
15,8;4,137673911115404;2,8833905044288497;1,2;1,2;1,2
15,9;4,137642523042388;2,88336846242516;1,2;1,2;1,2
16,0;4,137610936937364;2,8833462813552013;1,2;1,2;1,2
16,1;4,137579152800333;2,883323961218973;1,2;1,2;1,2
16,2;4,137547170631297;2,8833015020164754;1,2;1,2;1,2
16,3;4,137514990430255;2,8832789037477085;1,2;1,2;1,2
16,400000000000002;4,137482612197204;2,883256166412673;1,2;1,2;1,2
16,5;4,137450035932149;2,883233290011367;1,2;1,2;1,2
16,6;4,137417261635087;2,883210274543792;1,2;1,2;1,2
16,7;4,137384289306018;2,883187120009948;1,2;1,2;1,2
16,8;4,1373511189449435;2,8831638264098345;1,2;1,2;1,2
16,900000000000002;4,135190449720156;2,8816465150731867;1,2;1,2;1,2
17,0;4,132676087060408;2,8798808255709183;1,2;1,2;1,2
17,1;4,130161526368653;2,878114997002381;1,2;1,2;1,2
17,2;4,127646767644891;2,876349029367574;1,2;1,2;1,2
17,3;4,1251318108891235;2,8745829226664976;1,2;1,2;1,2
17,400000000000002;4,122616656101349;2,8728166768991517;1,2;1,2;1,2
17,5;4,118463693532507;2,8699002947365844;1,2;1,2;1,2
17,6;4,097053077350169;2,8548648740968146;1,2;1,2;1,2
17,7;4,075642263135827;2,839829314390778;1,2;1,2;1,2
17,8;4,054231250889477;2,82479361561847;1,2;1,2;1,2
17,900000000000002;4,032820040611121;2,809757777779893;1,2;1,2;1,2
18,0;4,01140863230076;2,794721800875048;1,2;1,2;1,2
