Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) (m/s²);Nachtverkehr (10%) (m/s²);Nebenverkehr (50%) (m/s²);Hauptverkehrszeit (100%) (m/s²)
7,800000000000001;2,989959647118727;2,070548895840252;1,2;1,2;1,2;1,2
7,9;2,9899370339500027;2,070533066622145;1,2;1,2;1,2;1,2
8,0;2,9899141327154344;2,070517035757947;1,2;1,2;1,2;1,2
8,1;2,9898909434150234;2,070500803247659;1,2;1,2;1,2;1,2
8,200000000000001;2,9898674660487683;2,07048436909128;1,2;1,2;1,2;1,2
8,3;2,9898437006166696;2,0704677332888113;1,2;1,2;1,2;1,2
8,4;2,989819647118727;2,0704508958402514;1,2;1,2;1,2;1,2
8,5;2,989795305554941;2,0704338567456015;1,2;1,2;1,2;1,2
8,6;2,9897706759253113;2,0704166160048607;1,2;1,2;1,2;1,2
8,700000000000001;2,989745758229838;2,0703991736180294;1,2;1,2;1,2;1,2
8,8;2,989720552468521;2,0703815295851076;1,2;1,2;1,2;1,2
8,9;2,989695058641361;2,0703636839060953;1,2;1,2;1,2;1,2
9,0;2,9896692767483564;2,0703456365809925;1,2;1,2;1,2;1,2
9,1;2,9896432067895087;2,070327387609799;1,2;1,2;1,2;1,2
9,200000000000001;2,989616848764818;2,070308936992515;1,2;1,2;1,2;1,2
9,3;2,9895902026742824;2,0702902847291407;1,2;1,2;1,2;1,2
9,4;2,989563268517904;2,0702714308196755;1,2;1,2;1,2;1,2
9,5;2,9895360462956817;2,0702523752641198;1,2;1,2;1,2;1,2
9,600000000000001;2,989508536007616;2,0702331180624736;1,2;1,2;1,2;1,2
9,700000000000001;2,989480737653706;2,0702136592147373;1,2;1,2;1,2;1,2
9,8;2,9894526512339534;2,07019399872091;1,2;1,2;1,2;1,2
9,9;2,9894242767483568;2,0701741365809925;1,2;1,2;1,2;1,2
10,0;2,989395614196916;2,0701540727949843;1,2;1,2;1,2;1,2
10,100000000000001;2,9893666635796325;2,070133807362885;1,2;1,2;1,2;1,2
10,200000000000001;2,9893374248965046;2,070113340284696;1,2;1,2;1,2;1,2
10,3;2,9893078981475334;2,0700926715604164;1,2;1,2;1,2;1,2
10,4;2,9892780833327186;2,070071801190046;1,2;1,2;1,2;1,2
10,5;2,98924798045206;2,070050729173585;1,2;1,2;1,2;1,2
10,600000000000001;2,9892175895055586;2,0700294555110337;1,2;1,2;1,2;1,2
10,700000000000001;2,989186910493212;2,0700079802023916;1,2;1,2;1,2;1,2
10,8;2,989155943415023;2,069986303247659;1,2;1,2;1,2;1,2
10,9;2,9891246882709903;2,069964424646836;1,2;1,2;1,2;1,2
11,0;2,989093145061114;2,0699423443999225;1,2;1,2;1,2;1,2
11,100000000000001;2,9890613137853936;2,069920062506918;1,2;1,2;1,2;1,2
11,200000000000001;2,98902919444383;2,0698975789678236;1,2;1,2;1,2;1,2
11,3;2,988996787036422;2,0698748937826386;1,2;1,2;1,2;1,2
11,4;2,9889640915631714;2,069852006951363;1,2;1,2;1,2;1,2
11,5;2,988931108024077;2,0698289184739966;1,2;1,2;1,2;1,2
11,600000000000001;2,9888978364191385;2,0698056283505397;1,2;1,2;1,2;1,2
11,700000000000001;2,988864276748356;2,0697821365809923;1,2;1,2;1,2;1,2
11,8;2,988830429011731;2,069758443165355;1,2;1,2;1,2;1,2
11,9;2,988796293209262;2,0697345481036264;1,2;1,2;1,2;1,2
12,0;2,9887618693409492;2,069710451395807;1,2;1,2;1,2;1,2
12,100000000000001;2,988727157406793;2,0696861530418977;1,2;1,2;1,2;1,2
12,200000000000001;2,9886921574067924;2,069661653041898;1,2;1,2;1,2;1,2
12,3;2,988656869340949;2,0696369513958075;1,2;1,2;1,2;1,2
12,4;2,9886212932092615;2,069612048103626;1,2;1,2;1,2;1,2
12,5;2,988585429011731;2,0695869431653544;1,2;1,2;1,2;1,2
12,600000000000001;2,988549276748356;2,0695616365809926;1,2;1,2;1,2;1,2
12,700000000000001;2,9885128364191385;2,06953612835054;1,2;1,2;1,2;1,2
12,8;2,9884761080240767;2,0695104184739965;1,2;1,2;1,2;1,2
12,9;2,9884390915631713;2,0694845069513628;1,2;1,2;1,2;1,2
13,0;2,9884017870364223;2,0694583937826385;1,2;1,2;1,2;1,2
13,100000000000001;2,9883641944438297;2,0694320789678238;1,2;1,2;1,2;1,2
13,200000000000001;2,9883263137853935;2,069405562506918;1,2;1,2;1,2;1,2
13,3;2,9882881450611136;2,0693788443999224;1,2;1,2;1,2;1,2
13,4;2,98824968827099;2,069351924646836;1,2;1,2;1,2;1,2
13,5;2,988210943415023;2,069324803247659;1,2;1,2;1,2;1,2
13,600000000000001;2,9881719104932127;2,0692974802023913;1,2;1,2;1,2;1,2
13,700000000000001;2,9881325895055584;2,0692699555110337;1,2;1,2;1,2;1,2
13,8;2,9880929804520604;2,069242229173585;1,2;1,2;1,2;1,2
13,9;2,9880530833327184;2,069214301190046;1,2;1,2;1,2;1,2
14,0;2,988012898147533;2,0691861715604163;1,2;1,2;1,2;1,2
14,100000000000001;2,9879724248965047;2,069157840284696;1,2;1,2;1,2;1,2
14,200000000000001;2,987931663579632;2,0691293073628856;1,2;1,2;1,2;1,2
14,3;2,987890614196916;2,069100572794984;1,2;1,2;1,2;1,2
14,4;2,9878492767483564;2,0690716365809925;1,2;1,2;1,2;1,2
14,5;2,987807651233953;2,06904249872091;1,2;1,2;1,2;1,2
14,600000000000001;2,987765737653706;2,0690131592147374;1,2;1,2;1,2;1,2
14,700000000000001;2,9877235360076155;2,068983618062474;1,2;1,2;1,2;1,2
14,8;2,9876810462956813;2,06895387526412;1,2;1,2;1,2;1,2
14,9;2,987638268517904;2,0689239308196754;1,2;1,2;1,2;1,2
15,0;2,9875952026742825;2,0688937847291404;1,2;1,2;1,2;1,2
