Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) (m/s²);Nachtverkehr (10%) (m/s²);Nebenverkehr (50%) (m/s²);Hauptverkehrszeit (100%) (m/s²)
7,7;2,8843018056917984;2,0705645234122683;1,2;1,2;1,2;1,2
7,800000000000001;2,8842802504200518;2,070548895840252;1,2;1,2;1,2;1,2
7,9;2,884258417015766;2,070533066622145;1,2;1,2;1,2;1,2
8,0;2,8842363054789417;2,070517035757947;1,2;1,2;1,2;1,2
8,1;2,884213915809579;2,070500803247659;1,2;1,2;1,2;1,2
8,200000000000001;2,8841912480076775;2,07048436909128;1,2;1,2;1,2;1,2
8,3;2,8841683020732374;2,0704677332888113;1,2;1,2;1,2;1,2
8,4;2,884145078006258;2,0704508958402514;1,2;1,2;1,2;1,2
8,5;2,884121575806741;2,0704338567456015;1,2;1,2;1,2;1,2
8,6;2,884097795474685;2,0704166160048607;1,2;1,2;1,2;1,2
8,700000000000001;2,88407373701009;2,0703991736180294;1,2;1,2;1,2;1,2
8,8;2,884049400412956;2,0703815295851076;1,2;1,2;1,2;1,2
8,9;2,884024785683284;2,0703636839060953;1,2;1,2;1,2;1,2
9,0;2,8839998928210733;2,0703456365809925;1,2;1,2;1,2;1,2
9,1;2,883974721826324;2,070327387609799;1,2;1,2;1,2;1,2
9,200000000000001;2,8839492726990352;2,070308936992515;1,2;1,2;1,2;1,2
9,3;2,8839235454392087;2,0702902847291407;1,2;1,2;1,2;1,2
9,4;2,883897540046843;2,0702714308196755;1,2;1,2;1,2;1,2
9,5;2,883871256521939;2,0702523752641198;1,2;1,2;1,2;1,2
9,600000000000001;2,883844694864496;2,0702331180624736;1,2;1,2;1,2;1,2
9,700000000000001;2,8838178550745144;2,0702136592147373;1,2;1,2;1,2;1,2
9,8;2,8837907371519944;2,07019399872091;1,2;1,2;1,2;1,2
9,9;2,8837633410969357;2,0701741365809925;1,2;1,2;1,2;1,2
10,0;2,8837356669093377;2,0701540727949843;1,2;1,2;1,2;1,2
10,100000000000001;2,8837077145892014;2,070133807362885;1,2;1,2;1,2;1,2
10,200000000000001;2,8836794841365267;2,070113340284696;1,2;1,2;1,2;1,2
10,3;2,8836509755513133;2,0700926715604164;1,2;1,2;1,2;1,2
10,4;2,8836221888335607;2,070071801190046;1,2;1,2;1,2;1,2
10,5;2,88359312398327;2,070050729173585;1,2;1,2;1,2;1,2
10,600000000000001;2,8835637810004404;2,0700294555110337;1,2;1,2;1,2;1,2
10,700000000000001;2,883534159885072;2,0700079802023916;1,2;1,2;1,2;1,2
10,8;2,883504260637165;2,069986303247659;1,2;1,2;1,2;1,2
10,9;2,88347408325672;2,069964424646836;1,2;1,2;1,2;1,2
11,0;2,883443627743735;2,0699423443999225;1,2;1,2;1,2;1,2
11,100000000000001;2,883412894098212;2,069920062506918;1,2;1,2;1,2;1,2
11,200000000000001;2,883381882320151;2,0698975789678236;1,2;1,2;1,2;1,2
11,3;2,883350592409551;2,0698748937826386;1,2;1,2;1,2;1,2
11,4;2,8833190243664117;2,069852006951363;1,2;1,2;1,2;1,2
11,5;2,8832871781907343;2,0698289184739966;1,2;1,2;1,2;1,2
11,600000000000001;2,883255053882518;2,0698056283505397;1,2;1,2;1,2;1,2
11,700000000000001;2,8832226514417627;2,0697821365809923;1,2;1,2;1,2;1,2
11,8;2,8831899708684694;2,069758443165355;1,2;1,2;1,2;1,2
11,9;2,8831570121626373;2,0697345481036264;1,2;1,2;1,2;1,2
12,0;2,883123775324266;2,069710451395807;1,2;1,2;1,2;1,2
