Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Eugen-Kogon-Straße;49.86713086666666;8.679308766666667;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.867214233333335;8.679246933333333;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8672976;8.6791851;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8673222;8.6791697;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8673365;8.679149;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8673365;8.679149;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.867393;8.6790561;50.0;Interpoliert;T
Routenpunkt (Way);Breslauer Platz;49.8674495;8.6789632;;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8674495;8.6789632;50.0;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.86749975;8.678826650000001;;Interpoliert;T
Routenpunkt (Way);Breslauer Platz;49.86755;8.6786901;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.867594;8.6785566;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.867594;8.6785566;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.8676567;8.6784;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.8677067;8.6783078;;Original OSM;T
Routenpunkt (Way);Botanischer Garten/Vivarium;49.8677748;8.6782687;;Original OSM;T
Routenpunkt (Way);Botanischer Garten/Vivarium;49.8677718;8.678261;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.86776885;8.67824;;Interpoliert;T
Haltestelle;Botanischer Garten/Vivarium;49.867831;8.6781722;;Original OSM;W
Routenpunkt (Way);Botanischer Garten/Vivarium;49.8678523;8.6781858;;Original OSM;T
Routenpunkt (Way);Botanischer Garten/Vivarium;49.8678523;8.6781858;;Original OSM;T
Routenpunkt (Way);Botanischer Garten/Vivarium;49.8678553;8.6781936;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.86792455;8.6781103;;Interpoliert;T
Routenpunkt (Way);Breslauer Platz;49.8680181;8.678048400000002;;Interpoliert;T
Routenpunkt (Way);Breslauer Platz;49.86811165;8.677986500000001;;Interpoliert;T
Routenpunkt (Way);Breslauer Platz;49.8682052;8.6779246;;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8682554;8.6778463;30.0;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.8682554;8.6778463;;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8682593;8.6778048;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8682632;8.6777641;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8682836;8.6775598;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8683039;8.6773567;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8683242;8.6771536;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8683398;8.6769975;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8683554;8.6768414;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.868371;8.676685299999999;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8683866;8.6765292;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8683962;8.6764334;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86842286666667;8.6762297;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86844953333333;8.676026;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8684762;8.6758223;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.868501071428575;8.675641742857144;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86852594285715;8.675461185714285;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86855081428572;8.675280628571429;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86857568571428;8.675100071428572;30.0;Interpoliert;T
