Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Hilpertstraße;49.8619381;8.6242394;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8619598;8.6244225;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.861981;8.6246018;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8619953;8.6247175;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86201465;8.62487085;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.862034;8.6250242;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8620503;8.62514495;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8620666;8.6252657;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8620834;8.625387;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8620992;8.6255072;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8621234;8.6256765;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8621436;8.6258104;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8621654;8.6259583;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8621872;8.6261062;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.862209;8.6262541;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.862209;8.6262541;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.862238;8.6264496;50.0;Original OSM;T
Haltestelle;Halt;49.86226185;8.6266097;50.0;Interpoliert;W
Routenpunkt (Way);Hilpertstraße;49.8622857;8.6267698;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8622966;8.6268413;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8622966;8.6268413;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623048;8.6268919;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623048;8.6268919;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86232145;8.62699785;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8623381;8.6271038;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623481;8.6271621;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623481;8.6271621;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623659;8.6272673;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623749;8.6273205;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623749;8.6273205;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8623853;8.6273803;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86241315;8.6275489;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.862441;8.6277175;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.862441;8.6277175;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86247095;8.62789465;50.0;Interpoliert;T
